Aeronautika - modul civilni pilot	aeronautika
Aeronautika - modul kontrolor leta	aeronautika
Aeronautika - modul vojni pilot	vojni
Agrarna ekonomika	agronomija
Agroekologija	agronomija
Akvakultura	agronomija
Anglistika	jezici
Animalne znanosti	agronomija
Animirani film i novi mediji	umjetnost
Antropologija	
Applied Computer Engineering	racunarstvo
Arheologija	
Arhitektura i urbanizam	arhitektura
Bachelor Degree in Business	ekonomija
Bachelor Degree in Economics	ekonomija
Baletna pedagogija	umjetnost
Bilinogojstvo	agronomija
Bilinogojstvo, smjer Ratarstvo	agronomija
Biljne znanosti	agronomija
Biologija	
Biologija i kemija	
Biologija i tehnologija mora	
Biotehnologija	
Biotehnologija i istraživanje lijekova	
Brodogradnja	pomorstvo
Brodostrojarstvo	pomorstvo
Brodostrojarstvo i tehnologija pomorskog prometa	pomorstvo
Češki jezik i književnost	jezici
Cestovni promet	promet
Crkvena glazba	umjetnost
Cyber komunikacije i znanost o mreži	
Demografija i hrvatsko iseljeništvo	
Dentalna higijena	stomatologija
Dentalna medicina	stomatologija
Digitalni marketing	
Dirigiranje	umjetnost
Dizajn	umjetnost
Dizajn i audiovizualne komunikacije	umjetnost
Dizajn novih medija	umjetnost
Dizajn vizualnih komunikacija	umjetnost
Dizajn za kazalište, film i televiziju	umjetnost
Dramaturgija	umjetnost
Drvna tehnologija	
Ekoinženjerstvo	
Ekoinženjerstvo i zaštita prirode	
Ekološka poljoprivreda	agronomija
Ekonomija	ekonomija
Ekonomija i management	ekonomija
Ekonomija i poslovna ekonomija	ekonomija
Ekonomija poduzetništva	ekonomija
Ekonomika poduzetništva	ekonomija
Ekonomska politika i regionalni razvitak,  Financijski menadžment, Marketing, Menadžment, Poduzetništvo, Poslovna informatika	ekonomija
Elektroenergetika	elektrotehnika
Elektroničke i informatičke tehnologije u pomorstvu	elektrotehnika
Elektroničko poslovanje i programsko inženjerstvo	racunarstvo
Elektronika	elektrotehnika
Elektrotehničke i komunikacijske tehnologije u pomorstvu	elektrotehnika
Elektrotehnika	elektrotehnika
Elektrotehnika i informacijska tehnologija	elektrotehnika
Elektrotehnika i informacijska tehnologija i Računarstvo	racunarstvo
Energetska učinkovitost i obnovljivi izvori	
Engleski jezik i književnost	jezici
Engleski jezik i književnost i Filozofija	jezici
Engleski jezik i književnost i Hrvatski jezik i književnost	jezici
Engleski jezik i književnost i Njemački jezik i književnost	jezici
Engleski jezik i književnost i Pedagogija	jezici
Engleski jezik i književnost i Povijest	jezici
Enogastronomija	
Etnologija i antropologija	
Etnologija i kulturna antropologija	
Farmacija	farmacija
Film i video	umjetnost
Filmska i medijska umjetnost	umjetnost
Filmska i TV režija	umjetnost
Filmsko, televizijsko i multimedijsko oblikovanje	umjetnost
Filozofija	filozofija
Filozofija i Hrvatski jezik i književnost	jezici
Filozofija i kultura	filozofija
Filozofija i Pedagogija	filozofija
Filozofija i Povijest	filozofija
Filozofija i religijske znanosti	filozofija
Filozofsko - teološki studij	filozofija
Filozofsko-teološki studij	filozofija
Financije i poslovno pravo	ekonomija
Financije i pravo	ekonomija
Financijski menadžment	ekonomija
Financijski menadžment, Marketing	ekonomija
Fitomedicina	medicina
Fizika	fizika
Fizika i informatika	fizika
Fizika i kemija	fizika
Fizioterapija	medicina
Fonetika	jezici
Forenzika	
Francuski jezik i književnost	jezici
Geodezija i geoinformatika	
Geodezija i geomatika	
Geofizika	
Geografija	geografija
Geografija i povijest	geografija
Geologija	
Geološko inženjerstvo	
Germanistika	jezici
Gitara	umjetnost
Glasovir	umjetnost
Glazba i mediji	umjetnost
Glazbena pedagogija	umjetnost
Glazbena teorija	umjetnost
Glazbena umjetnost i kultura	umjetnost
Gluma	umjetnost
Gluma i lutkarstvo	umjetnost
Gluma i mediji	umjetnost
Građevinarstvo	gradevina
Graditeljstvo	gradevina
Grafička tehnologija, smjer: Dizajn grafičkih proizvoda	dizajn
Grafička tehnologija, smjer: Tehničko-tehnološki	dizajn
Grafički dizajn i vizualne komunikacije	dizajn
Grafika	dizajn
Grčki jezik i književnost	jezici
Gudački instrumenti	umjetnost
Hortikultura	agronomija
Hotelijerstvo i gastronomija	turizam
Hotelijerstvo, restoraterstvo i gastronomija	turizam
Hrvatski jezik i književnost	jezici
Hrvatski jezik i književnost i Njemački jezik i književnost	jezici
Hrvatski jezik i književnost i Pedagogija	jezici
Hrvatski jezik i književnost i Povijest	jezici
Hungarologija	jezici
Indologija	jezici
Industrijsko inženjerstvo	
Informacijska tehnologija	racunarstvo
Informacijske tehnologije	racunarstvo
Informacijske tehnologije i digitalizacija poslovanja	racunarstvo
Informacijske znanosti	racunarstvo
Informacijski i poslovni sustavi	racunarstvo
Informacijski sustavi i Poslovni sustavi	racunarstvo
